Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
1,-0.55199003,-0.007169628050178289,0.12841413915157318,2.397583246231079
2,-0.78066003,-0.02540912665426731,0.20193400979042053,2.3975751399993896
3,-0.95131,-0.02200346067547798,0.25787919759750366,2.397536277770996
4,-0.881795,0.008972549811005592,0.3828093409538269,2.3975167274475098
5,-1.366905,-0.012399101629853249,0.7682604789733887,2.397494077682495
6,-3.8438148,-0.01705646514892578,6.162293434143066,2.397489070892334
7,-0.66859996,-0.007212638854980469,0.18165364861488342,2.3974766731262207
8,-4.552145,-0.020685385912656784,9.806525230407715,2.3972837924957275
9,-2.091055,-0.003025150392204523,2.261185884475708,2.3974292278289795
10,-1.047695,-0.008426904678344727,0.335163414478302,2.397456645965576
11,-0.90861,-0.03312373161315918,0.2528688311576843,2.3974175453186035
12,-2.1252902,-0.021327495574951172,2.027806282043457,2.3973727226257324
13,-1.9930999,0.013552045449614525,1.7056061029434204,2.3973960876464844
14,-3.3006501,0.0002577781560830772,3.9338600635528564,2.3973326683044434
15,-4.484735,0.0016548633575439453,6.77683162689209,2.3972904682159424
16,-4.55457,0.01357421837747097,9.821152687072754,2.397108554840088
17,-5.4168453,-0.02022571489214897,14.626355171203613,2.397089719772339
18,-3.5433202,0.004716110415756702,5.616782188415527,2.3972835540771484
19,-2.04008,-0.012634659186005592,1.8736127614974976,2.3973026275634766
20,-2.754705,0.009875059127807617,2.7467079162597656,2.397292375564575
21,-4.777785,0.03071765974164009,9.968169212341309,2.3971164226531982
22,-2.6937551,0.03300504758954048,2.729896068572998,2.397179365158081
23,-3.650315,0.017385531216859818,4.339412212371826,2.397134780883789
24,-4.41534,0.00483250617980957,7.626280784606934,2.3970046043395996
25,-1.744605,-0.0098419189453125,1.4326109886169434,2.3971657752990723
26,-5.3278847,-0.02604851685464382,12.052468299865723,2.3970284461975098
27,-4.0632253,-0.01879577711224556,6.618462562561035,2.397048234939575
28,-4.077565,-0.01641836203634739,6.161572456359863,2.397099256515503
29,-7.020205,0.006542110349982977,17.82265853881836,2.3968303203582764
30,-4.6552997,-0.008408832363784313,7.151972770690918,2.3970179557800293
31,-6.2084303,0.001130771590396762,19.628276824951172,2.396862506866455
32,-8.0246105,-0.0031381607986986637,34.71303939819336,2.39662766456604
33,-6.24437,-0.04176335409283638,15.709932327270508,2.39652156829834
34,-3.016635,-0.015287590213119984,4.902268409729004,2.396975040435791
35,-4.102805,0.035501860082149506,5.223160266876221,2.3968145847320557
36,-3.50668,-0.009808873757719994,5.2506303787231445,2.397028684616089
1,-0.66613,-0.0010730742942541838,0.2706019878387451,2.3975977897644043
2,-1.29895,0.0023144721053540707,0.57576584815979,2.3975796699523926
3,-1.22797,-0.011446666903793812,0.7208986878395081,2.397585391998291
4,-2.270485,0.006096935365349054,2.5936901569366455,2.397552013397217
5,-3.3712401,-0.017315339297056198,5.085910797119141,2.397496461868286
6,-2.583585,-0.009670829400420189,3.7647342681884766,2.397630214691162
7,-3.4691799,0.011119937524199486,6.30916690826416,2.397366762161255
8,-3.213735,0.011233615688979626,4.989165306091309,2.3973183631896973
9,-2.3141,0.012356567196547985,2.852058172225952,2.3975729942321777
10,-1.82971,-0.011749553494155407,1.7218945026397705,2.3976500034332275
