Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,1.16,4.00,48.60,0.00,48.60,1.89,0.00
2.0,3.49,14.00,474.25,0.00,474.25,5.68,0.00
3.0,6.22,27.00,985.75,133.25,1119.00,7.61,3.98
4.0,9.27,53.00,937.89,0.00,937.89,15.07,0.00
5.0,14.95,64.00,2375.74,85.40,2461.14,20.88,5.47
6.0,0.55,47.00,6.30,8.80,15.10,0.62,0.44
7.0,2.89,65.00,371.75,0.90,372.65,4.70,0.00
8.0,8.25,77.00,1222.42,202.62,1425.04,9.39,6.44
9.0,5.84,99.00,717.53,10.95,728.48,9.22,0.44
10.0,11.72,127.00,1937.83,14.85,1952.68,17.10,3.10
11.0,10.96,39.00,1048.80,490.35,1539.15,9.86,12.70
12.0,3.09,61.00,498.50,0.00,498.50,5.03,0.00
13.0,10.06,82.00,1222.75,177.95,1400.70,11.97,7.02
14.0,7.08,94.00,1300.10,109.40,1409.50,8.40,4.96
15.0,12.64,118.00,2627.00,8.10,2635.10,19.54,1.60
16.0,12.10,38.00,1242.36,252.53,1494.89,13.13,10.46
17.0,10.37,79.00,32.75,229.13,261.88,1.89,23.94
18.0,7.59,101.00,760.16,75.46,835.62,10.84,2.40
19.0,11.38,122.00,1144.88,400.61,1545.49,13.58,7.86
20.0,14.26,151.00,2132.23,0.00,2132.23,23.18,0.00
21.0,10.26,42.00,1301.04,39.18,1340.22,14.54,3.40
22.0,12.06,75.00,707.12,373.69,1080.81,5.86,21.99
23.0,8.01,103.00,1381.01,0.00,1381.01,13.01,0.00
24.0,9.10,117.00,1319.77,37.00,1356.77,12.94,2.95
25.0,9.42,129.00,1449.03,146.50,1595.53,12.74,4.10
26.0,11.22,35.00,2782.36,0.00,2782.36,18.24,0.00
27.0,3.47,55.00,52.13,172.62,224.75,1.80,6.14
28.0,3.85,73.00,420.00,0.00,420.00,6.25,0.00
29.0,10.92,97.00,1368.60,65.70,1434.30,16.75,1.60
30.0,10.45,111.00,1424.26,106.04,1530.30,12.89,6.54
31.0,18.02,60.00,3300.26,18.45,3318.71,28.28,1.60
32.0,11.36,85.00,1506.13,185.88,1692.01,14.15,6.89
33.0,10.30,101.00,475.86,395.82,871.68,4.89,18.96
34.0,5.33,115.00,1149.96,45.30,1195.26,7.66,1.60
35.0,8.78,136.00,1136.20,205.90,1342.10,9.52,7.59
36.0,9.04,41.00,2519.36,1.10,2520.46,14.42,0.44
37.0,6.09,57.00,1385.65,75.58,1461.23,7.54,3.78
38.0,6.72,82.00,181.50,351.22,532.72,4.64,10.06
39.0,6.65,113.00,887.03,0.00,887.03,10.80,0.00
40.0,9.55,132.00,1766.28,97.45,1863.73,13.61,3.04
41.0,14.54,43.00,1634.36,247.50,1881.86,16.15,11.95
42.0,11.03,54.00,1444.05,74.30,1518.35,15.73,3.52
43.0,3.62,74.00,146.40,339.50,485.90,1.84,6.46
44.0,6.22,100.00,733.99,0.00,733.99,10.10,0.00
45.0,8.20,128.00,1240.57,14.95,1255.52,12.43,1.44
46.0,13.95,47.00,2273.67,172.35,2446.02,17.08,8.93
47.0,13.35,66.00,4017.79,0.00,4017.79,21.69,0.00
48.0,2.36,78.00,0.00,22.75,22.75,2.66,1.88
49.0,8.92,100.00,220.01,517.08,737.09,3.71,17.24
50.0,8.91,128.00,990.17,0.00,990.17,14.48,0.00
51.0,8.45,29.00,1421.51,263.08,1684.59,11.08,4.26
52.0,9.22,48.00,2826.04,0.00,2826.04,14.99,0.00
53.0,6.68,71.00,854.60,22.95,877.55,9.85,1.60
54.0,12.21,99.00,773.71,694.67,1468.38,8.99,17.37
55.0,9.81,118.00,1744.01,0.00,1744.01,15.94,0.00
56.0,11.12,46.00,1871.87,94.60,1966.47,15.13,4.70
57.0,15.63,65.00,2208.85,268.60,2477.45,16.88,13.63
58.0,5.39,79.00,961.47,0.00,961.47,8.75,0.00
59.0,7.21,103.00,52.71,319.35,372.06,2.94,14.03
60.0,9.27,115.00,346.16,89.10,435.26,6.29,14.04
61.0,5.87,28.00,1068.96,60.30,1129.26,8.54,1.60
62.0,9.25,39.00,1976.45,179.00,2155.45,12.79,3.60
63.0,0.00,39.00,0.00,0.00,0.00,0.00,0.00
64.0,1.15,44.00,0.00,17.40,17.40,0.00,2.99
65.0,1.72,44.00,0.00,224.70,224.70,0.00,4.48
66.0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,4.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
