Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.62,1.00,14.85,0.00,14.85,1.00,0.00
2.0,1.33,4.00,175.35,0.00,175.35,2.16,0.00
3.0,0.62,5.00,194.85,0.00,194.85,1.00,0.00
4.0,3.24,11.00,208.05,48.18,256.23,3.76,2.40
5.0,3.74,18.00,657.15,0.00,657.15,6.08,0.00
6.0,0.55,14.00,29.75,0.00,29.75,0.90,0.00
7.0,2.55,19.00,208.85,108.30,317.15,2.15,3.20
8.0,1.66,23.00,421.55,22.40,443.95,2.42,0.44
9.0,1.15,28.00,122.40,0.00,122.40,1.86,0.00
10.0,2.42,34.00,311.50,1.95,313.45,3.65,0.44
11.0,2.25,21.00,292.66,30.15,322.81,2.49,1.86
12.0,2.36,32.00,215.52,0.00,215.52,3.84,0.00
13.0,4.61,35.00,810.07,0.00,810.07,7.49,0.00
14.0,1.29,37.00,325.37,0.00,325.37,2.10,0.00
15.0,3.77,45.00,820.07,20.05,840.12,5.85,0.44
16.0,2.69,14.00,293.00,0.00,293.00,4.37,0.00
17.0,3.57,23.00,595.25,149.65,744.90,3.33,3.96
18.0,5.16,30.00,1159.53,0.00,1159.53,8.39,0.00
19.0,2.38,33.00,273.20,0.00,273.20,3.88,0.00
20.0,2.92,46.00,517.55,5.45,523.00,4.47,0.44
21.0,2.86,19.00,144.55,62.14,206.69,2.15,4.00
22.0,1.53,33.00,28.89,51.70,80.59,0.90,2.54
23.0,1.49,38.00,134.34,82.20,216.54,1.18,2.00
24.0,0.72,41.00,242.34,0.00,242.34,1.18,0.00
25.0,0.92,43.00,287.99,0.00,287.99,1.49,0.00
26.0,2.68,10.00,430.44,0.00,430.44,4.36,0.00
27.0,1.10,15.00,63.00,59.06,122.06,0.89,1.44
28.0,1.48,21.00,267.60,21.35,288.95,2.14,0.44
29.0,2.12,24.00,611.70,0.00,611.70,3.45,0.00
30.0,2.86,37.00,280.63,0.00,280.63,4.65,0.00
31.0,5.85,18.00,806.33,161.60,967.93,7.99,2.42
32.0,1.69,33.00,407.70,8.15,415.85,2.48,0.44
33.0,2.90,39.00,404.22,74.10,478.32,3.71,1.60
34.0,3.09,40.00,852.57,0.00,852.57,5.03,0.00
35.0,1.88,43.00,782.72,0.00,782.72,3.06,0.00
36.0,3.03,10.00,1197.02,0.00,1197.02,4.93,0.00
37.0,1.53,16.00,267.80,0.00,267.80,2.49,0.00
38.0,2.08,24.00,186.72,0.00,186.72,3.39,0.00
39.0,4.89,33.00,756.50,53.50,810.00,7.33,1.00
40.0,5.14,44.00,1099.42,0.00,1099.42,8.35,0.00
41.0,5.14,15.00,1000.80,62.13,1062.93,4.91,5.50
42.0,0.00,17.00,0.00,0.00,0.00,0.00,0.00
43.0,2.76,27.00,115.09,153.45,268.54,2.39,3.36
44.0,2.82,40.00,554.59,0.00,554.59,4.58,0.00
45.0,3.28,47.00,790.15,82.00,872.15,3.70,2.60
46.0,2.63,17.00,743.62,0.00,743.62,4.28,0.00
47.0,3.44,18.00,1292.92,0.00,1292.92,5.59,0.00
48.0,1.16,23.00,132.30,0.00,132.30,1.89,0.00
49.0,2.08,25.00,435.00,0.00,435.00,3.39,0.00
50.0,4.92,29.00,935.00,0.00,935.00,7.99,0.00
51.0,0.38,9.00,109.60,0.00,109.60,0.62,0.00
52.0,1.88,13.00,309.04,0.00,309.04,3.06,0.00
53.0,2.40,24.00,223.94,4.40,228.34,3.27,1.00
54.0,3.61,32.00,333.39,0.00,333.39,5.86,0.00
55.0,4.18,38.00,832.89,0.00,832.89,6.80,0.00
56.0,6.16,16.00,1128.15,44.22,1172.37,8.51,2.40
57.0,4.50,21.00,262.36,103.85,366.21,3.50,6.10
58.0,1.54,29.00,194.71,0.00,194.71,2.50,0.00
59.0,1.17,31.00,150.75,0.00,150.75,1.90,0.00
60.0,2.13,34.00,340.35,0.00,340.35,3.46,0.00
61.0,1.52,6.00,340.20,0.00,340.20,2.46,0.00
62.0,2.46,11.00,361.48,0.00,361.48,4.00,0.00
63.0,0.00,11.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,14.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,14.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
