Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,1.00,4.00,28.45,0.00,28.45,1.62,0.00
2.0,3.75,19.00,306.43,0.00,306.43,6.09,0.00
3.0,6.31,30.00,831.85,88.67,920.52,8.39,2.98
4.0,10.27,57.00,1132.45,32.70,1165.15,15.68,1.60
5.0,10.82,69.00,2662.45,0.00,2662.45,17.58,0.00
6.0,5.86,39.00,1680.70,0.00,1680.70,9.53,0.00
7.0,4.78,59.00,392.87,145.75,538.62,4.35,5.46
8.0,4.13,67.00,864.61,24.85,889.46,6.16,0.88
9.0,2.51,89.00,209.85,1.92,211.77,3.08,1.60
10.0,7.23,115.00,761.37,15.25,776.62,9.80,3.10
11.0,3.62,35.00,555.42,0.00,555.42,5.89,0.00
12.0,5.26,64.00,442.29,0.00,442.29,8.55,0.00
13.0,9.89,75.00,1554.19,54.05,1608.24,13.68,3.82
14.0,6.22,92.00,1221.00,10.50,1231.50,9.83,0.44
15.0,11.05,119.00,2636.07,0.00,2636.07,17.95,0.00
16.0,6.06,38.00,809.76,5.60,815.36,9.58,0.44
17.0,10.77,74.00,497.22,341.92,839.14,9.68,12.53
18.0,10.22,98.00,1584.62,42.15,1626.77,15.03,2.54
19.0,7.42,113.00,1373.20,21.60,1394.80,11.06,1.60
20.0,9.44,139.00,2394.57,22.65,2417.22,14.48,1.38
21.0,8.98,40.00,715.64,79.29,794.93,12.00,4.14
22.0,8.02,79.00,497.11,78.95,576.06,10.86,3.48
23.0,12.38,97.00,1866.31,98.20,1964.51,15.48,7.42
24.0,10.00,120.00,2315.45,15.50,2330.95,14.29,3.13
25.0,5.99,130.00,1880.09,65.70,1945.79,8.74,1.60
26.0,7.88,30.00,2860.77,7.35,2868.12,12.53,0.44
27.0,3.38,48.00,62.55,254.69,317.24,2.10,5.42
28.0,6.66,71.00,735.41,21.35,756.76,10.55,0.44
29.0,11.80,93.00,2088.81,27.80,2116.61,18.90,0.44
30.0,7.73,111.00,2236.16,0.00,2236.16,12.56,0.00
31.0,14.25,41.00,4230.44,138.18,4368.62,20.09,4.90
32.0,5.33,77.00,626.65,29.04,655.69,7.16,2.40
33.0,6.22,89.00,681.28,32.24,713.52,8.34,2.84
34.0,9.55,100.00,1826.02,45.30,1871.32,14.51,1.60
35.0,7.31,125.00,1748.34,0.00,1748.34,11.88,0.00
36.0,8.65,35.00,3192.92,1.20,3194.12,13.79,0.44
37.0,2.85,49.00,543.20,52.35,595.55,3.63,1.60
38.0,5.74,74.00,361.57,0.00,361.57,9.33,0.00
39.0,13.20,97.00,1386.63,328.93,1715.56,13.71,12.37
40.0,10.72,114.00,2030.04,0.00,2030.04,17.42,0.00
41.0,8.37,42.00,1435.82,35.20,1471.02,9.41,6.70
42.0,3.91,51.00,305.00,76.80,381.80,4.15,3.52
43.0,6.90,78.00,206.59,219.29,425.88,4.58,10.63
44.0,6.25,102.00,980.74,0.00,980.74,10.15,0.00
45.0,11.79,135.00,1836.19,146.08,1982.27,16.16,4.80
46.0,11.54,49.00,2132.35,0.00,2132.35,18.76,0.00
47.0,17.09,66.00,3839.55,383.75,4223.30,21.24,10.45
48.0,3.65,91.00,408.70,0.00,408.70,5.93,0.00
49.0,10.62,109.00,1116.51,136.40,1252.91,12.76,7.19
50.0,17.13,137.00,2559.35,0.00,2559.35,27.83,0.00
51.0,7.62,40.00,1357.52,0.00,1357.52,12.38,0.00
52.0,10.09,56.00,2665.23,31.80,2697.03,14.59,2.88
53.0,4.88,81.00,259.36,60.00,319.36,4.38,5.68
54.0,5.36,101.00,567.49,4.65,572.14,8.43,0.44
55.0,7.23,115.00,1548.57,0.00,1548.57,11.75,0.00
56.0,13.68,45.00,1685.06,26.55,1711.61,21.02,1.94
57.0,12.21,64.00,2447.37,81.96,2529.33,16.10,5.98
58.0,2.15,78.00,354.30,0.00,354.30,3.50,0.00
59.0,7.92,102.00,297.15,279.78,576.93,7.19,9.09
60.0,7.49,114.00,1063.75,15.30,1079.05,11.90,0.44
