Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.17,1.00,5.05,0.00,5.05,0.28,0.00
2.0,0.51,8.00,55.10,0.00,55.10,0.83,0.00
3.0,3.18,20.00,204.55,90.55,295.10,3.27,3.02
4.0,5.39,30.00,622.20,32.70,654.90,7.75,1.60
5.0,6.39,42.00,1361.70,0.00,1361.70,10.38,0.00
6.0,1.75,25.00,131.35,0.00,131.35,2.85,0.00
7.0,4.47,40.00,525.00,63.00,588.00,5.99,2.04
8.0,5.24,44.00,1130.70,23.60,1154.30,8.24,0.44
9.0,1.53,57.00,105.60,9.05,114.65,2.21,0.44
10.0,4.68,76.00,560.95,0.15,561.10,7.61,0.00
11.0,3.32,22.00,571.80,14.50,586.30,4.76,1.00
12.0,2.21,38.00,247.14,0.00,247.14,3.59,0.00
13.0,6.04,47.00,1032.04,92.00,1124.04,8.93,1.42
14.0,4.31,60.00,1133.35,0.00,1133.35,7.00,0.00
15.0,7.94,74.00,2316.61,60.20,2376.81,11.65,2.00
16.0,4.91,30.00,426.14,13.20,439.34,6.99,1.60
17.0,8.01,51.00,369.63,391.19,760.82,6.88,9.81
18.0,7.80,66.00,1030.93,51.30,1082.23,11.68,1.60
19.0,6.40,79.00,532.16,33.15,565.31,9.39,1.60
20.0,10.90,97.00,1538.80,94.37,1633.17,14.90,4.50
21.0,6.69,30.00,879.96,91.49,971.45,6.43,7.10
22.0,2.78,49.00,154.88,108.25,263.13,1.84,4.28
23.0,5.52,65.00,629.65,184.55,814.20,5.56,5.46
24.0,5.32,74.00,1285.88,0.00,1285.88,8.64,0.00
25.0,4.37,81.00,1084.81,7.50,1092.31,6.48,1.00
26.0,5.54,20.00,1751.41,0.00,1751.41,9.00,0.00
27.0,3.97,31.00,106.46,234.80,341.26,2.21,6.78
28.0,3.98,44.00,517.09,60.90,577.99,5.46,1.60
29.0,7.47,61.00,1328.99,0.00,1328.99,12.14,0.00
30.0,6.68,75.00,1427.81,0.00,1427.81,10.86,0.00
31.0,10.46,27.00,2618.61,72.80,2691.41,15.50,2.38
32.0,2.26,42.00,410.30,7.95,418.25,3.40,0.44
33.0,6.72,58.00,290.25,316.22,606.47,4.15,10.83
34.0,6.59,67.00,879.55,0.00,879.55,10.71,0.00
35.0,4.71,80.00,847.01,0.00,847.01,7.66,0.00
36.0,5.45,23.00,1842.21,1.25,1843.46,8.59,0.44
37.0,1.98,31.00,378.11,50.10,428.21,2.23,1.60
38.0,5.00,46.00,403.07,0.00,403.07,8.12,0.00
39.0,7.47,54.00,1205.48,45.90,1251.38,11.14,1.60
40.0,8.02,67.00,1740.16,0.00,1740.16,13.04,0.00
41.0,6.44,34.00,910.50,18.32,928.82,6.26,6.74
42.0,1.90,41.00,95.70,82.50,178.20,1.25,2.94
43.0,4.85,57.00,132.42,132.15,264.57,5.06,4.52
44.0,7.80,74.00,753.92,4.11,758.03,12.40,0.44
45.0,9.12,92.00,1329.32,120.52,1449.84,13.05,2.84
46.0,13.51,41.00,2326.40,0.00,2326.40,21.95,0.00
47.0,17.00,53.00,4829.32,15.90,4845.22,27.35,0.44
48.0,6.00,64.00,522.75,0.00,522.75,9.75,0.00
49.0,7.82,75.00,500.79,76.75,577.54,8.94,6.03
50.0,8.46,89.00,1333.09,0.00,1333.09,13.75,0.00
51.0,2.55,21.00,311.20,0.00,311.20,4.14,0.00
52.0,4.38,34.00,969.05,0.00,969.05,7.11,0.00
53.0,5.88,56.00,488.10,73.29,561.39,6.84,4.34
54.0,9.04,67.00,1068.38,0.00,1068.38,14.69,0.00
55.0,11.12,85.00,2373.73,0.00,2373.73,18.08,0.00
56.0,11.40,43.00,1470.22,79.97,1550.19,15.83,4.32
57.0,9.54,57.00,1310.10,103.37,1413.47,7.86,12.23
58.0,0.75,67.00,181.87,0.00,181.87,1.23,0.00
59.0,3.38,76.00,270.54,45.69,316.23,4.59,1.44
60.0,5.31,88.00,784.15,0.00,784.15,8.63,0.00
61.0,3.08,17.00,722.18,0.00,722.18,5.00,0.00
62.0,4.72,26.00,1179.16,0.00,1179.16,7.66,0.00
63.0,0.00,26.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,29.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,29.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
