Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.38,1.00,5.60,0.00,5.60,0.62,0.00
2.0,1.69,4.00,105.58,0.00,105.58,2.75,0.00
3.0,0.71,5.00,125.60,0.00,125.60,1.16,0.00
4.0,1.08,11.00,91.49,10.80,102.29,1.49,0.44
5.0,1.28,16.00,258.19,0.00,258.19,2.08,0.00
6.0,0.62,15.00,66.90,0.00,66.90,1.00,0.00
7.0,1.72,20.00,313.20,15.42,328.62,2.51,0.44
8.0,2.50,27.00,692.00,24.15,716.15,3.79,0.44
9.0,1.00,32.00,189.60,0.00,189.60,1.62,0.00
10.0,2.55,40.00,420.00,1.10,421.10,3.88,0.44
11.0,1.54,15.00,198.50,6.10,204.60,1.88,1.00
12.0,4.09,28.00,324.73,0.00,324.73,6.65,0.00
13.0,5.42,31.00,1060.71,0.00,1060.71,8.81,0.00
14.0,1.87,34.00,653.85,0.00,653.85,3.04,0.00
15.0,3.89,40.00,1293.85,14.07,1307.92,6.05,0.44
16.0,1.16,13.00,76.05,0.00,76.05,1.89,0.00
17.0,1.17,23.00,162.30,0.00,162.30,1.90,0.00
18.0,3.13,30.00,455.75,0.00,455.75,5.09,0.00
19.0,1.94,34.00,244.80,0.00,244.80,3.15,0.00
20.0,4.42,47.00,486.81,17.38,504.19,5.68,2.40
21.0,2.86,18.00,309.06,49.28,358.34,3.15,2.40
22.0,2.12,34.00,22.10,123.15,145.25,0.62,4.50
23.0,1.27,38.00,209.35,28.65,238.00,1.51,0.88
24.0,1.74,42.00,429.70,0.00,429.70,2.83,0.00
25.0,1.19,44.00,302.45,0.00,302.45,1.94,0.00
26.0,2.55,9.00,502.45,0.00,502.45,4.14,0.00
27.0,0.94,14.00,23.70,47.13,70.83,0.62,1.44
28.0,1.77,19.00,155.90,60.90,216.80,1.88,1.60
29.0,3.98,27.00,491.89,0.00,491.89,6.48,0.00
30.0,3.02,33.00,798.41,0.00,798.41,4.91,0.00
31.0,6.09,23.00,1578.13,101.10,1679.23,8.65,2.00
32.0,1.30,33.00,233.29,0.00,233.29,2.11,0.00
33.0,1.68,38.00,105.27,55.00,160.27,2.11,1.00
34.0,2.42,39.00,310.31,0.00,310.31,3.93,0.00
35.0,1.67,42.00,332.24,0.00,332.24,2.71,0.00
36.0,1.67,11.00,584.24,0.00,584.24,2.71,0.00
37.0,0.92,15.00,315.04,0.00,315.04,1.50,0.00
38.0,2.35,19.00,167.45,0.00,167.45,3.81,0.00
39.0,4.25,27.00,652.13,0.00,652.13,6.90,0.00
40.0,6.93,40.00,1396.08,0.00,1396.08,11.26,0.00
41.0,6.74,20.00,1150.80,52.69,1203.49,7.25,5.92
42.0,0.38,22.00,116.40,0.00,116.40,0.62,0.00
43.0,3.42,33.00,84.90,154.44,239.34,2.50,4.90
44.0,2.90,43.00,461.00,0.00,461.00,4.71,0.00
45.0,3.28,46.00,733.65,69.00,802.65,4.34,1.60
46.0,6.45,20.00,928.33,0.00,928.33,10.48,0.00
47.0,8.12,24.00,2033.25,71.85,2105.10,12.29,1.44
48.0,2.04,30.00,42.95,0.00,42.95,3.31,0.00
49.0,4.09,36.00,225.65,122.60,348.25,2.77,6.20
50.0,3.95,40.00,667.70,0.00,667.70,6.41,0.00
51.0,0.55,11.00,258.75,0.00,258.75,0.89,0.00
52.0,1.14,13.00,474.09,0.00,474.09,1.85,0.00
53.0,2.00,22.00,141.70,16.20,157.90,2.25,1.60
54.0,4.40,31.00,430.93,0.00,430.93,7.15,0.00
55.0,5.21,39.00,1033.33,0.00,1033.33,8.46,0.00
56.0,5.97,19.00,896.21,30.00,926.21,8.71,1.60
57.0,3.70,24.00,573.15,75.05,648.20,3.45,4.10
58.0,0.38,31.00,91.50,0.00,91.50,0.62,0.00
59.0,1.47,33.00,153.29,0.00,153.29,2.39,0.00
60.0,2.66,36.00,447.04,0.00,447.04,4.33,0.00
61.0,2.66,5.00,879.04,0.00,879.04,4.33,0.00
62.0,1.50,10.00,621.07,0.00,621.07,2.44,0.00
63.0,0.00,10.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,13.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,13.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
