Step,Reward,Loss,Epsilon
0,-1726.4379,332.4017639160156,1.0
20,0,332.3168029785156,0.995
40,0,332.2299499511719,0.990025
60,0,332.1423034667969,0.985074875
80,0,332.05389404296875,0.9801495006250001
100,0,331.962646484375,0.9752487531218751
120,0,331.86590576171875,0.9703725093562657
140,0,331.7659912109375,0.9655206468094844
160,0,331.6654052734375,0.960693043575437
180,0,331.567626953125,0.9558895783575597
200,0,331.46868896484375,0.9511101304657719
220,0,331.36700439453125,0.946354579813443
240,0,331.2634582519531,0.9416228069143757
260,0,331.15753173828125,0.9369146928798039
280,0,331.0490417480469,0.9322301194154049
300,0,330.9392395019531,0.9275689688183278
320,0,330.82916259765625,0.9229311239742362
340,0,330.71734619140625,0.918316468354365
360,0,330.60498046875,0.9137248860125932
380,0,330.4933776855469,0.9091562615825302
400,0,330.3821716308594,0.9046104802746175
420,0,330.2705993652344,0.9000874278732445
440,0,330.156982421875,0.8955869907338783
460,0,330.04205322265625,0.8911090557802088
480,0,329.92572021484375,0.8866535105013078
500,0,329.8088684082031,0.8822202429488013
520,0,329.6920471191406,0.8778091417340573
540,0,329.5740661621094,0.8734200960253871
560,0,329.45343017578125,0.8690529955452602
580,0,329.33099365234375,0.8647077305675338
600,0,329.206787109375,0.8603841919146962
620,0,329.080078125,0.8560822709551227
640,0,328.9518737792969,0.851801859600347
660,0,328.8232421875,0.8475428503023453
680,0,328.693115234375,0.8433051360508336
700,0,328.56085205078125,0.8390886103705794
720,0,328.4266357421875,0.8348931673187264
740,-54.88250000000001,332.9507751464844,0.8307187014821328
760,0,333.533447265625,0.8265651079747222
780,0,327.6368408203125,0.8224322824348486
800,0,336.2423095703125,0.8183201210226743
820,0,332.3923645019531,0.8142285204175609
840,0,324.414794921875,0.810157377815473
860,0,332.8155212402344,0.8061065909263957
880,0,326.9363098144531,0.8020760579717637
900,0,312.7029724121094,0.798065677681905
920,0,318.19537353515625,0.7940753492934954
940,0,326.4931640625,0.7901049725470279
960,0,334.20440673828125,0.7861544476842928
980,0,331.4429931640625,0.7822236754458713
1000,0,313.668701171875,0.778312557068642
1020,0,332.7609558105469,0.7744209942832988
1040,0,324.29290771484375,0.7705488893118823
1060,0,324.1343994140625,0.7666961448653229
1080,0,322.532470703125,0.7628626641409962
1100,0,311.64190673828125,0.7590483508202912
1120,0,325.3230285644531,0.7552531090661897
1140,0,316.34259033203125,0.7514768435208588
1160,0,312.3681945800781,0.7477194593032545
1180,0,310.93115234375,0.7439808620067382
1200,0,330.7965087890625,0.7402609576967045
1220,0,311.7109375,0.736559652908221
1240,0,324.19537353515625,0.7328768546436799
1260,0,323.98785400390625,0.7292124703704616
1280,0,322.30535888671875,0.7255664080186093
1300,0,309.3914794921875,0.7219385759785162
1320,0,329.8868408203125,0.7183288830986236
1340,0,326.2415771484375,0.7147372386831305
1360,0,308.78289794921875,0.7111635524897149
1380,0,322.6632080078125,0.7076077347272662
1400,0,330.80316162109375,0.7040696960536299
1420,0,308.44366455078125,0.7005493475733617
1440,0,311.9701843261719,0.697046600835495
1460,0,322.4693298339844,0.6935613678313175
1480,0,321.23553466796875,0.6900935609921609
1500,0,326.6890869140625,0.6866430931872001
1520,0,322.261962890625,0.6832098777212641
1540,0,317.5870056152344,0.6797938283326578
1560,0,323.517333984375,0.6763948591909945
1580,0,307.8372802734375,0.6730128848950395
1600,0,306.0072021484375,0.6696478204705644
1620,0,288.35235595703125,0.6662995813682115
1640,0,324.5523986816406,0.6629680834613705
1660,0,320.29522705078125,0.6596532430440636
1680,0,315.6438293457031,0.6563549768288433
1700,0,323.85003662109375,0.653073201944699
1720,0,319.37103271484375,0.6498078359349755
1740,0,316.50506591796875,0.6465587967553006
1760,0,286.2193603515625,0.6433260027715241
1780,0,308.25689697265625,0.6401093727576664
1800,0,307.9157409667969,0.6369088258938781
1820,0,317.2117919921875,0.6337242817644086
1840,0,314.90240478515625,0.6305556603555866
1860,0,320.9299011230469,0.6274028820538087
1880,0,312.33819580078125,0.6242658676435396
1900,0,320.3643798828125,0.6211445383053219
1920,0,311.5795593261719,0.6180388156137953
1940,0,322.4151611328125,0.6149486215357263
1960,0,318.9576416015625,0.6118738784280476
1980,0,312.2397766113281,0.6088145090359074
2000,0,311.0815124511719,0.6057704364907278
2020,0,318.9996032714844,0.6027415843082742
2040,0,280.8515625,0.5997278763867329
2060,0,319.82366943359375,0.5967292370047992
2080,0,317.3440856933594,0.5937455908197752
2100,0,299.0035095214844,0.5907768628656763
2120,0,301.41455078125,0.5878229785513479
2140,-118.16969999999998,333.5250244140625,0.5848838636585911
2160,0,335.3499755859375,0.5819594443402982
2180,0,344.97882080078125,0.5790496471185967
2200,0,342.4600830078125,0.5761543988830038
2220,0,330.960693359375,0.5732736268885887
2240,0,331.69598388671875,0.5704072587541458
2260,0,306.3689270019531,0.567555222460375
2280,0,337.3231506347656,0.5647174463480732
2300,0,322.8646545410156,0.5618938591163328
2320,0,333.2372131347656,0.5590843898207511
2340,0,323.77069091796875,0.5562889678716474
2360,0,330.3170471191406,0.5535075230322891
2380,0,325.3814697265625,0.5507399854171277
2400,0,335.1214599609375,0.547986285490042
2420,0,317.5769348144531,0.5452463540625918
2440,0,326.6968078613281,0.5425201222922789
2460,0,318.72357177734375,0.5398075216808175
2480,0,326.0599060058594,0.5371084840724134
2500,0,332.5520935058594,0.5344229416520513
2520,0,314.4970703125,0.531750826943791
2540,0,302.48211669921875,0.5290920728090721
2560,0,320.16998291015625,0.5264466124450268
2580,0,310.0993347167969,0.5238143793828016
2600,0,323.34808349609375,0.5211953074858876
2620,0,321.3380432128906,0.5185893309484582
2640,0,335.6473083496094,0.5159963842937159
2660,0,307.35369873046875,0.5134164023722473
2680,0,320.48553466796875,0.510849320360386
2700,0,277.8777160644531,0.5082950737585841
2720,0,330.7000427246094,0.5057535983897912
2740,-153.3852,374.9500732421875,0.5032248303978422
2760,0,364.2123718261719,0.500708706245853
2780,0,359.7311096191406,0.4982051627146237
2800,0,361.0819091796875,0.49571413690105054
2820,0,369.08648681640625,0.4932355662165453
2840,0,355.1993408203125,0.4907693883854626
2860,0,355.35968017578125,0.4883155414435353
2880,0,372.8603515625,0.4858739637363176
2900,0,365.3655700683594,0.483444593917636
2920,0,379.14105224609375,0.4810273709480478
2940,0,362.6931457519531,0.47862223409330756
2960,0,358.0349426269531,0.47622912292284103
2980,0,365.0914306640625,0.4738479773082268
3000,0,340.2794189453125,0.47147873742168567
3020,0,358.80615234375,0.46912134373457726
3040,0,363.78240966796875,0.46677573701590436
3060,0,346.3729553222656,0.46444185833082485
3080,0,317.09271240234375,0.46211964903917074
3100,0,329.52685546875,0.4598090507939749
3120,0,295.7261962890625,0.457510005540005
3140,0,286.029296875,0.45522245551230495
3160,0,332.7738952636719,0.4529463432347434
3180,0,345.75885009765625,0.4506816115185697
3200,0,356.52972412109375,0.4484282034609769
3220,0,341.3666076660156,0.446186062443672
3240,0,345.70648193359375,0.4439551321314536
3260,0,340.5950622558594,0.4417353564707963
3280,0,312.4985656738281,0.43952667968844233
3300,0,334.1107177734375,0.43732904629000013
3320,0,337.7252197265625,0.4351424010585501
3340,0,289.2067565917969,0.43296668905325736
3360,0,340.0223693847656,0.43080185560799106
3380,0,333.0256042480469,0.4286478463299511
3400,0,334.7291259765625,0.42650460709830135
3420,0,316.77880859375,0.42437208406280985
3440,-61.409800000000004,334.041259765625,0.4222502236424958
3460,0,324.8299560546875,0.42013897252428334
3480,0,288.7809143066406,0.4180382776616619
3500,0,313.2060546875,0.4159480862733536
3520,0,308.24029541015625,0.41386834584198684
3540,0,309.0372314453125,0.4117990041127769
3560,0,318.14923095703125,0.40974000909221303
3580,0,314.299072265625,0.40769130904675194
3600,0,296.9477233886719,0.40565285250151817
3620,0,230.17135620117188,0.4036245882390106
3640,0,288.603759765625,0.4016064652978155
3660,0,321.327880859375,0.3995984329713264
3680,0,255.6369171142578,0.3976004408064698
3700,0,231.21505737304688,0.39561243860243744
3720,0,294.1121826171875,0.3936343764094253
3740,0,286.05224609375,0.39166620452737816
3760,0,293.5902099609375,0.3897078735047413
3780,0,291.47125244140625,0.3877593341372176
3800,0,286.23663330078125,0.3858205374665315
3820,0,286.441162109375,0.38389143477919885
3840,0,268.3324890136719,0.3819719776053028
3860,0,291.88714599609375,0.3800621177172763
3880,0,273.5759582519531,0.37816180712868996
3900,0,276.2938232421875,0.37627099809304654
3920,0,278.8841552734375,0.3743896431025813
3940,0,223.63096618652344,0.37251769488706843
3960,0,251.88522338867188,0.3706551064126331
3980,0,270.843017578125,0.36880183088056995
4000,0,247.40725708007812,0.3669578217261671
4020,0,276.41937255859375,0.36512303261753626
4040,0,266.1561279296875,0.3632974174544486
4060,0,259.6460876464844,0.3614809303671764
4080,0,267.4028625488281,0.3596735257153405
4100,0,251.61068725585938,0.3578751580867638
4120,0,244.1576690673828,0.35608578229633
4140,0,205.9451904296875,0.3543053533848483
4160,0,240.72857666015625,0.35253382661792404
4180,0,244.29405212402344,0.3507711574848344
4200,0,242.2306365966797,0.34901730169741024
4220,0,249.19961547851562,0.3472722151889232
4240,0,253.04588317871094,0.3455358541129786
4260,0,224.74937438964844,0.3438081748424137
4280,0,207.2891845703125,0.3420891339682016
4300,0,230.20748901367188,0.3403786882983606
4320,0,193.3458251953125,0.3386767948568688
4340,0,246.58804321289062,0.33698341088258443
4360,0,230.9730987548828,0.3352984938281715
4380,0,233.7377471923828,0.33362200135903064
4400,0,236.40277099609375,0.33195389135223546
4420,0,179.08038330078125,0.3302941218954743
4440,0,223.62716674804688,0.32864265128599696
4460,0,219.11495971679688,0.326999438029567
4480,0,215.8541259765625,0.3253644408394192
4500,0,202.74839782714844,0.3237376186352221
4520,0,203.85665893554688,0.322118930542046
4540,0,208.34921264648438,0.32050833588933575
4560,-94.5639,225.70040893554688,0.31890579420988907
4580,0,240.89498901367188,0.3173112652388396
4600,0,175.6526641845703,0.3157247089126454
4620,0,227.29417419433594,0.3141460853680822
4640,0,197.47650146484375,0.3125753549412418
4660,-90.8171,239.19801330566406,0.31101247816653554
4680,0,243.1669464111328,0.30945741577570285
4700,0,218.56634521484375,0.3079101286968243
4720,0,191.78562927246094,0.3063705780533402
4740,0,222.3538055419922,0.30483872516307353
4760,0,228.050537109375,0.3033145315372582
4780,0,212.84730529785156,0.3017979588795719
4800,0,181.26869201660156,0.30028896908517405
4820,0,176.55645751953125,0.2987875242397482
4840,0,203.8807373046875,0.29729358661854943
4860,0,207.87916564941406,0.29580711868545667
4880,0,183.0430145263672,0.2943280830920294
4900,0,197.5863800048828,0.29285644267656924
4920,0,208.33717346191406,0.2913921604631864
4940,0,215.92904663085938,0.28993519966087045
4960,0,179.89651489257812,0.2884855236625661
4980,0,207.69491577148438,0.28704309604425327
5000,0,167.14990234375,0.285607880564032
5020,0,189.312255859375,0.28417984116121187
5040,0,208.804443359375,0.2827589419554058
5060,0,188.18875122070312,0.28134514724562876
5080,0,188.90736389160156,0.2799384215094006
5100,0,202.320556640625,0.27853872940185365
5120,0,199.70150756835938,0.27714603575484437
5140,0,203.0373992919922,0.2757603055760701
5160,0,160.64315795898438,0.2743815040481898
5180,0,199.07281494140625,0.2730095965279488
5200,-86.6042,143.62786865234375,0.27164454854530906
5220,0,143.31362915039062,0.2702863258025825
5240,0,166.00064086914062,0.2689348941735696
