Step,Reward,Actor_Loss,Critic_Loss
0,-14900.478082275393,1.659918189048767,352840.25
100,-1030.88203125,3.893956422805786,366401.625
200,-1001.30302734375,7.4298176765441895,362642.5
300,-354.44599609375,12.810188293457031,367905.5
400,-214.8639892578125,21.086524963378906,348776.5625
500,-609.99404296875,32.68706130981445,336318.84375
600,-803.777978515625,49.858421325683594,322886.25
700,-782.802978515625,74.78046417236328,289095.75
800,-338.5,112.56063079833984,298234.03125
900,-367.977001953125,160.58033752441406,240971.59375
1000,-567.264990234375,233.77120971679688,206829.203125
1100,-553.02197265625,334.4072570800781,151637.34375
1200,-287.58603515625,461.9814453125,106408.125
1300,-483.37001953125,613.9019775390625,68256.078125
1400,-587.96201171875,750.88232421875,76402.3125
1500,-647.775,756.2914428710938,115189.1484375
1600,-398.48701171875,723.5162353515625,115988.59375
1700,-854.2990234375,643.924072265625,96025.8203125
1800,-665.785009765625,565.7452392578125,60309.35546875
1900,-527.5080078125,502.1944274902344,60931.890625
2000,-585.14501953125,454.53973388671875,51860.30859375
2100,-871.6599609375,416.04547119140625,69828.671875
2200,-988.7740234375,393.9910888671875,84323.6875
2300,-889.9169921875,390.630126953125,81343.390625
2400,-1032.09296875,405.17047119140625,89974.484375
2500,-1310.3330078125,433.929931640625,92814.8984375
2600,-1326.9630859375,449.1597595214844,80902.4921875
2700,-691.027001953125,503.0194091796875,92476.34375
2800,-874.79599609375,558.3916015625,74591.640625
2900,-1053.873046875,612.926513671875,67478.3984375
3000,-1239.141015625,642.7862548828125,70062.9296875
3100,-1011.4189453125,686.9647216796875,64202.94140625
3200,-799.29599609375,704.3680419921875,70630.171875
3300,-1409.6169921875,703.8654174804688,68296.4140625
3400,-1330.108984375,673.8427124023438,74085.359375
3500,-1123.10302734375,653.1401977539062,61987.7890625
3600,-954.398046875,590.6929931640625,59618.3515625
3700,-1223.80390625,562.02880859375,66039.65625
3800,-1170.3119140625,543.4669189453125,69694.75
3900,-1231.58603515625,560.7747192382812,84926.6875
4000,-971.92998046875,552.7001342773438,70882.03125
4100,-1092.46298828125,577.6303100585938,78097.671875
4200,-1144.501953125,583.5750732421875,66376.859375
4300,-1491.40703125,667.9228515625,55076.7265625
4400,-793.9419921875,631.8097534179688,63127.10546875
4500,-1138.2279296875,682.05224609375,60492.7109375
4600,-1433.6779296875,782.943359375,65774.9375
4700,-1146.96796875,713.689697265625,72316.8125
4800,-1432.04296875,682.8177490234375,43910.72265625
4900,-1251.375,655.092529296875,62714.59375
5000,-1229.28095703125,660.9078369140625,63514.6328125
5100,-979.57099609375,688.7376098632812,43006.515625
5200,-661.466015625,669.3834838867188,48923.87890625
5300,-1173.4099609375,672.6674194335938,65196.45703125
5400,-1128.7169921875,649.499755859375,47720.55078125
5500,-1218.08701171875,689.1727905273438,42707.66796875
5600,-1045.20498046875,706.7877807617188,52485.4921875
5700,-1075.93203125,767.27294921875,62580.5703125
5800,-1364.4470703125,783.188232421875,47186.796875
5900,-859.79501953125,759.9615478515625,47953.67578125
6000,-1202.0560546875,763.180419921875,66690.015625
6100,-1538.66806640625,724.885009765625,49151.4296875
6200,-1467.42802734375,682.9576416015625,62988.5625
