Algorithm,Scenario,mean,std,count
A2C,Normal,29.083973880597018,21.583503125211955,536.0
A2C,Slow,54.359425531914894,60.90107658351935,940.0
A2C,Jam,224.76101311084622,306.90358831274,1678.0
