Scenario,Baseline_Mean,Baseline_Std,Signalized_Mean,Signalized_Std
Normal,84.49252083333334,73.99328549844056,84.49252083333334,73.99328549844056
Slow,74.0277551020408,71.67535929686423,90.38694791666667,82.27168734821407
Jam,21.971348039215687,25.39475597974955,84.49252083333334,73.99328549844056
