Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
36,0.77800006,"tf.Tensor(0.06467253, shape=(), dtype=float32)","tf.Tensor(1.0340394, shape=(), dtype=float32)","tf.Tensor(1.7459775, shape=(), dtype=float32)"
37,-0.09289998,"tf.Tensor(0.4815239, shape=(), dtype=float32)","tf.Tensor(0.39785936, shape=(), dtype=float32)","tf.Tensor(1.6766394, shape=(), dtype=float32)"
38,-2.1425,"tf.Tensor(0.9700673, shape=(), dtype=float32)","tf.Tensor(0.960882, shape=(), dtype=float32)","tf.Tensor(1.6350472, shape=(), dtype=float32)"
39,1.283,"tf.Tensor(0.066613436, shape=(), dtype=float32)","tf.Tensor(0.70362794, shape=(), dtype=float32)","tf.Tensor(1.6680152, shape=(), dtype=float32)"
40,-0.095,"tf.Tensor(0.44338062, shape=(), dtype=float32)","tf.Tensor(0.2746832, shape=(), dtype=float32)","tf.Tensor(1.691227, shape=(), dtype=float32)"
41,0.095,"tf.Tensor(0.08696514, shape=(), dtype=float32)","tf.Tensor(1.3083723, shape=(), dtype=float32)","tf.Tensor(1.7642211, shape=(), dtype=float32)"
42,-0.656,"tf.Tensor(0.4886343, shape=(), dtype=float32)","tf.Tensor(0.3216854, shape=(), dtype=float32)","tf.Tensor(1.6836197, shape=(), dtype=float32)"
43,0.656,"tf.Tensor(0.17033507, shape=(), dtype=float32)","tf.Tensor(0.28073508, shape=(), dtype=float32)","tf.Tensor(1.6542163, shape=(), dtype=float32)"
44,1.0275,"tf.Tensor(0.023962677, shape=(), dtype=float32)","tf.Tensor(1.2233869, shape=(), dtype=float32)","tf.Tensor(1.6769108, shape=(), dtype=float32)"
45,-1.908,"tf.Tensor(0.048291504, shape=(), dtype=float32)","tf.Tensor(0.44728565, shape=(), dtype=float32)","tf.Tensor(1.7463639, shape=(), dtype=float32)"
46,1.3405,"tf.Tensor(0.0487566, shape=(), dtype=float32)","tf.Tensor(0.14072387, shape=(), dtype=float32)","tf.Tensor(1.6653994, shape=(), dtype=float32)"
47,-1.3,"tf.Tensor(0.4473849, shape=(), dtype=float32)","tf.Tensor(0.29686335, shape=(), dtype=float32)","tf.Tensor(1.641781, shape=(), dtype=float32)"
48,1.0,"tf.Tensor(0.10665268, shape=(), dtype=float32)","tf.Tensor(0.39792675, shape=(), dtype=float32)","tf.Tensor(1.6479924, shape=(), dtype=float32)"
49,0.0,"tf.Tensor(0.16934276, shape=(), dtype=float32)","tf.Tensor(0.45762846, shape=(), dtype=float32)","tf.Tensor(1.7278883, shape=(), dtype=float32)"
50,0.0,"tf.Tensor(0.025858447, shape=(), dtype=float32)","tf.Tensor(0.2637991, shape=(), dtype=float32)","tf.Tensor(1.6580167, shape=(), dtype=float32)"
51,0.0,"tf.Tensor(0.10404086, shape=(), dtype=float32)","tf.Tensor(0.42398095, shape=(), dtype=float32)","tf.Tensor(1.7335591, shape=(), dtype=float32)"
52,0.0,"tf.Tensor(0.14583647, shape=(), dtype=float32)","tf.Tensor(0.39689183, shape=(), dtype=float32)","tf.Tensor(1.7365305, shape=(), dtype=float32)"
53,0.0,"tf.Tensor(0.06966293, shape=(), dtype=float32)","tf.Tensor(0.36488152, shape=(), dtype=float32)","tf.Tensor(1.739965, shape=(), dtype=float32)"
