Scenario,Baseline_Mean,Baseline_Std,Signalized_Mean,Signalized_Std,Difference,Change_%
Normal,68.73835820895522,65.98848497970279,68.73835820895522,65.98848497970279,0.0,0.0
Slow,65.15420454545455,61.70487743580123,120.39938297872341,218.58050325895593,55.24517843326886,84.79142492596515
Jam,107.20355184743742,81.2977072739703,68.73835820895522,65.98848497970279,-38.465193638482205,-35.88052165773617
