Step,Reward,Loss,Epsilon
0,2167.7402,13205278720.0,0.2
100,-51.56006,12873205760.0,0.199
200,0,12870651904.0,0.19800500000000001
300,0,12515008512.0,0.197014975
400,0,12080467968.0,0.19602990012500002
500,0,11599913984.0,0.19504975062437502
600,1597.1001,12276423680.0,0.19407450187125314
700,0,12010225664.0,0.19310412936189686
800,-209.41492,11642698752.0,0.19213860871508737
900,0,11036557312.0,0.19117791567151193
1000,0,10523948032.0,0.19022202609315436
1100,0,10836299776.0,0.18927091596268858
1200,0,10179827712.0,0.18832456138287512
1300,0,9964550144.0,0.18738293857596075
1400,0,9710305280.0,0.18644602388308096
1500,0,5713274368.0,0.18551379376366556
1600,-217.28516,8787212288.0,0.18458622479484724
1700,0,9272744960.0,0.183663293670873
1800,0,8675986432.0,0.18274497720251864
1900,-223.59998,7807121408.0,0.18183125231650604
2000,0,8573453312.0,0.18092209605492351
2100,0,8290693120.0,0.1800174855746489
2200,0,8450124800.0,0.17911739814677563
2300,0,8195800064.0,0.17822181115604174
2400,0,7838971904.0,0.17733070210026153
2500,0,7198829056.0,0.17644404858976023
2600,0,7543107584.0,0.17556182834681144
2700,3545.4502,9043942400.0,0.1746840192050774
2800,0,10638875648.0,0.173810599109052
2900,-115.40001,9129728000.0,0.17294154611350673
3000,0,8536452096.0,0.1720768383829392
3100,0,4650292736.0,0.1712164541910245
3200,0,10202087424.0,0.17036037192006936
3300,0,7941050368.0,0.16950857006046902
3400,0,9771659264.0,0.16866102721016668
3500,0,9524753408.0,0.16781772207411585
3600,0,9583796224.0,0.16697863346374528
3700,-497.655,7963576832.0,0.16614374029642656
3800,449.64014,8815968256.0,0.16531302159494443
3900,0,8890038272.0,0.16448645648696972
4000,0,7520804864.0,0.16366402420453488
4100,0,7941602816.0,0.1628457040835122
4200,0,7683023360.0,0.16203147556309463
4300,228.1399,4826719232.0,0.16122131818527916
4400,0,4895918080.0,0.16041521159435276
4500,0,4912803328.0,0.159613135536381
4600,-107.900024,5723016192.0,0.15881506985869911
4700,0,6097873920.0,0.15802099450940563
4800,0,6929922048.0,0.1572308895368586
4900,0,6518985216.0,0.1564447350891743
5000,0,6737804288.0,0.15566251141372844
5100,-134.09998,6069037056.0,0.1548841988566598
5200,299.32,4180204032.0,0.1541097778623765
5300,0,4838980608.0,0.15333922897306462
5400,0,2674778880.0,0.1525725328281993
5500,0,5383854080.0,0.1518096701640583
5600,0,4751046656.0,0.151050621813238
5700,0,5623884800.0,0.15029536870417182
5800,0,2652999168.0,0.14954389186065095
5900,0,2516001792.0,0.1487961724013477
6000,-6.230011,4994054656.0,0.14805219153934096
6100,0,4736380928.0,0.14731193058164427
6200,0,4875756544.0,0.14657537092873604
6300,-172.15497,2256604416.0,0.14584249407409236
6400,0,4154194944.0,0.1451132816037219
6500,0,5007777792.0,0.1443877151957033
6600,0,3435776512.0,0.14366577661972477
6700,0,4068307968.0,0.14294744773662615
6800,0,3739836160.0,0.14223271049794303
6900,0,2946262784.0,0.14152154694545332
7000,0,4487319040.0,0.14081393921072605
7100,55.829956,4585387520.0,0.1401098695146724
7200,0,3718264832.0,0.13940932016709906
7300,-199.82501,4386657792.0,0.13871227356626356
7400,0,2121526272.0,0.13801871219843223
7500,0,1930239744.0,0.13732861863744006
7600,0,2029782528.0,0.13664197554425286
7700,0,2438480896.0,0.1359587656665316
7800,0,1236930560.0,0.13527897183819892
7900,0,4074184704.0,0.13460257697900793
8000,0,1674262528.0,0.13392956409411289
8100,-377.30994,3243503360.0,0.1332599162736423
8200,0,3756205312.0,0.1325936166922741
