Algorithm,Crossing_Type,Scenario,mean,std,count
NoDRL,Baseline,Normal,84.49252083333334,73.99328549844056,480.0
NoDRL,Baseline,Slow,74.0277551020408,71.67535929686423,147.0
NoDRL,Baseline,Jam,21.971348039215687,25.39475597974955,1224.0
NoDRL,Signalized,Normal,84.49252083333334,73.99328549844056,480.0
NoDRL,Signalized,Slow,90.38694791666667,82.27168734821407,960.0
NoDRL,Signalized,Jam,84.49252083333334,73.99328549844056,480.0
