Scenario,Baseline_Mean,Baseline_Std,Signalized_Mean,Signalized_Std,Difference,Improvement_%
Normal,38.08651119402985,31.52589762756574,29.083973880597018,21.583503125211955,-9.002537313432835,23.637075256302296
Slow,64.31060638297872,67.31523771377537,54.359425531914894,60.90107658351935,-9.951180851063825,15.473623109387496
Jam,195.44231320980273,356.7111322450032,224.76101311084622,306.90358831274,29.318699901043487,-15.001203894660492
