Scenario,Baseline_Mean,Baseline_Std,Signalized_Mean,Signalized_Std,Improvement_%
Normal,14.858562500000001,10.766932605215862,31.80002083333334,28.896335706992897,-114.01815171106449
Slow,18.98986458333333,17.117975824723818,33.89986458333333,31.02831645385919,-78.51556778917706
Jam,19.816446078431373,18.406783934307537,35.13147875816993,35.59725016716321,-77.28445665344482
