Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
1,-3.56195,0.007904005236923695,5.602202892303467,2.397564649581909
2,-8.956949,-0.010650205425918102,33.522483825683594,2.3975272178649902
3,-9.61575,-0.014475727453827858,38.10135269165039,2.3975398540496826
4,-24.276701,-0.00097231863765046,238.7299041748047,2.3974716663360596
5,-17.767502,-0.0044723511673510075,110.63301849365234,2.397465467453003
6,-25.956,-0.0036062239669263363,350.85833740234375,2.397407054901123
7,-39.325302,-0.0208924300968647,711.8995361328125,2.397071361541748
8,-36.9526,0.004823780152946711,675.16357421875,2.397066354751587
9,-33.03775,-0.01037816982716322,516.3153686523438,2.397076368331909
10,-50.58345,-0.0033349990844726562,1031.1556396484375,2.3968400955200195
11,-15.055699,-0.02215561829507351,93.238037109375,2.3974859714508057
12,-19.8383,0.0010979652870446444,201.48545837402344,2.397435426712036
13,-21.8074,0.023186683654785156,238.27963256835938,2.397399425506592
14,-19.34165,0.008264255709946156,156.7256622314453,2.397444248199463
15,-106.92495,-0.01919560506939888,4442.34130859375,2.395691156387329
16,-33.87695,-0.0016974449390545487,542.5279541015625,2.3971104621887207
17,-27.287949,0.006832552142441273,305.8628234863281,2.397387981414795
18,-19.584251,0.011401558294892311,172.83175659179688,2.397411346435547
19,-23.69695,-0.00015392302884720266,330.5000305175781,2.39741849899292
20,-53.767994,0.012295246124267578,1000.4818115234375,2.396961212158203
21,-22.804401,0.03347892686724663,311.88690185546875,2.397367477416992
22,-40.3658,0.02406940422952175,679.5023193359375,2.397064685821533
23,-34.03085,0.02713909186422825,574.1022338867188,2.3970274925231934
24,-49.046402,0.04892749711871147,1117.4122314453125,2.396684169769287
25,-23.789951,0.02982339821755886,261.8184509277344,2.397308826446533
26,-87.77155,0.029348134994506836,3176.806396484375,2.395784378051758
27,-78.874954,0.029450416564941406,2961.702392578125,2.3963301181793213
28,-59.24905,-0.01098027266561985,1435.6630859375,2.3966612815856934
29,-53.3755,-0.0110635282471776,1183.49169921875,2.397047758102417
30,-46.07405,-0.02376375161111355,936.64599609375,2.3971269130706787
31,-103.6221,-0.01612410508096218,4016.54296875,2.3958613872528076
32,-28.90915,0.03855719417333603,374.7834777832031,2.3969790935516357
33,-39.4596,0.016681814566254616,611.7979125976562,2.3967232704162598
34,-93.9353,-0.024088000878691673,4226.259765625,2.3956212997436523
35,-78.53675,-0.009107494726777077,2044.0465087890625,2.3959097862243652
